duopmostuollu	tuámustovli
duopmu	tuáMu
duopmu	tuámu
duopmár	tuámmár~tuámmâr
duorastat	tuo'râstâh
duorgu	sijmá
duotka	kuá'mui
duotka	kuámui
duottar	tuodâr
duođaštus	tuo'đâštâs~tuo'đâštus
durbbon	tuárbum
dutkan	tođhos
dutkan	tu'đhos
dutkan	tutkâm
dutkan	tutkâmuš
dutkan	tuđhos
dutki	totkee
duvdda	räijejeijee
duvhllár	tuhlár
duđan	puse
duŋgá	tuvne
dušši	tušše
dábálaš_hilsku	šiljoiilâsk
dáhkki	káttu
dáhkki	täkki
dáhkádus	táhádâs
dáhpáhus	tábáhtus
dáhttut	táttuđ
dáidda	taaiđâ
dáigi	täigi
dákti	tähti
dálki	áimu
dálki	šoŋŋâ
dálkkas	taalhâs
dálkkasdieđa	talhâstieđâ
dálkkádat	šoŋŋâdâh
dálon	tálulâš
dálveguohtun	tälvikuáttum
dálvi	tälvi
dámmá	tamma
dámpa	liev'lâtamppâ
dámpa	lievlâtamppâ
dánsa	tanssâ
dánsu	tánssájeijee
dápmot	veejeeh
dápmot	vejehâš
dárbu	tárbu
dárkilvuohta	tärkkivuotâ
dásseárvu	täsiárvu
dássi	tääSi
dássi	tääsi
dávda	tavdâ
dávdamearka	tavdâmerkkâ
dávdi	täbđi
dávvir	aarni
dávvir	tiŋgâ
dávástus	távástâh
e-poasta	šleđgâpostâ
eadnebealle	ennipeeLi
eadnebealle	ennipeeli
eadni	enni
eadnivuohta	ennivuotâ
eahket	eeHid
eahket	eehid
eahpeluohttámuš	epiluát'támuš
eahpeluohttámuš	epiluáttámuš
eaiggát	iäigád
eaktu	iäh'tu
eaktu	iähtu
eaktu	várádâs
ealageardi	kevâttâs
ealga	sorvâ
ealli	ellee
eallinahki	eellimäigi
eallinoaidnu	eellimuái'nu
eallinvuohki	eellimutke
eallisilba	elleesilbâ
eallu	iäLu
eallu	iälu
ealáhat	iä'láttâh
ealáhus	iä'láttâs
ealáhus	áigápuátu
eamit	eemeed
eana	eennâm
eanadat	mecci
eanadoallu	eennâmtuáLu
eanandoallu	eennâmtuáLu
eanandoallu	eennâmtuálu
eananoassi	eennâmuáSi
eananoassi	eennâmuási
eananspábba	eennâmpállu
eanetlohku	iä'nádâh
eanu	iänui
eapmi	eeMi
eappel	oomeen
earkebisma	arkkâpispe
earri	uási
earta	herttâ
earuhus	iä'ruttâs
earuhus	iäruttâs
eatnanmuorji	mansikka
eatnanmuorji	mansikka~mansik
eatnigiella	eeNikieLâ
eatnigiella	eenikielâ
eavru	iäv'ru
eavru	iävru
ehtemas	etimâs~etimus
eiseváldi	esiväldi
eiseváldi	virgeomâhâš
ekonomiija	ekonomia
ekváhtor	peeivitäsideijee
elefánta	elefantti
elrávdnji	šleđgâ
energiija	energia
erohus	iäRu
ettet	eetik
euro	euro
evre	evri
evttohas	iä'vtukkâs
evttohas	iävtukkâs
evttohus	iä'vtuttâs
evttohus	iävtuttâs
eváhkko	evakko
eváŋgiljon	evangelium
eŋgel	eŋgâl
fabrihkka	fabrik
fabrihkka	fabrik~fabrig
faggi	ruák'ki
fanas	käärbis
fanas	vyeli
fastodat	vastevuotâ
fearga	väri
fearán	fiäráán
feber	kumeštâs~kumestâs
festivála	festivaal
fidjol	vivlu
fidnoallaskuvla	áámmátollâškovlâ
fidnu	haahâ
fiehta	stuor'râviet'tuu
fiehta	stuorrâviettuu
fiellu	lyev'di
fiellu	lyevdi
fierbmi	viermi
fierpmádat	viä'rmádâh
fierpmádat	viärmádâh
fiertu	fiär'ttu
fiertu	fiärttu
fievru	vuájáán
fihkon	viigun
fiilu	fijlo
filbma	elleekoVe
filbma	elleekove
filbma	filmâ
finddar	fiindâr
firkkal	ovdâlijne
fiskescizáš	fi'skispešnirihhááš
fiskescizáš	fiskispešnirihhááš
fiskesdávda	fi'skistavdâ
fiskesdávda	fiskistavdâ
fiskesrássi	nuor'ttâfi'skisrääSi~-rääsi
fiskesrássi	nuorttâfiskisrääsi
fitnodat	irâttâs
fitnodat	lihâstâs
foanda	ruttârááJu
foanda	ruttârááju
friddjabeaivi	rijjâpeivi
friddjaminuhtta	tijmekoskâ
friddjavuohta	rijjâvuotâ
funkšuvdna	funktio
fuolkevuođatávval	suhâmuoRâ
fuolkevuođatávval	suhâmuorâ
fuolki	hyel'kki
fuomášupmi	huámmášume
fuorbma	vuor'mâ
fuorbma	vuormâ
fuođar	fuođâr
fylka	leeNâ
fylkkamánni	eennâmhiär'rá
fylkkamánni	eennâmhiärrá
fáddá	fáddá
fága	aamnâs
fággi	fäggi
fáhkan	miek'kiväälis
fáhkan	miekkiväälis
fákta	kocceem
fális	välis~väälis
fápmu	väldi
fárppal	faarpâl
fárru	juáv'kku
fárvealla	iä'Rutier'vuođah
fástu	vástu
fáttar	faadâr
fávre	piä'iválâš
fáŋgavuohta	faŋgâvuotâ
gaccastat	sa'rgâstâh
gaccastat	sargâstâh
gaccepaš	sämicissááš
gaccet	pyei'dicissááš
gaccet	pyeidicissááš
gaccir	kazzer-~kazerräigi
gahpir	kappeer
gaibagahpir	koibâkappeer
galba	kolbâ
galba	käibi
galbarihcci	kolbâcuábui
galbmagáhkkor	kolmâpelčči
ganjal	koonjâl
gapmu	avâštâs
gardnjil	kaaiŋâr
garjá	vuo'râččâs
garjá	vuorâččâs
garraláibi	koškeleibi
garvin	juurrâm
gaska	koskâ
gaskaidja	koskâijjâ
gaskan	peLivaalmâš
gaskavahkku	koskokko
gaskavuohta	koskâvuotâ
gaskkas	kooskâst
gaskkas	riät'ká
gatna	konnâ
gavdda	njuođâ
gavja	kovjâ
gazza	kozzâ
gažaldat	koččâmâš
geafivuohta	kievhivuotâ
geahpedus	meddâlistem
geahpis	keepis
geahppamielki	keppâmiel'kki
geahppamielki	keppâmielkki
geahčastat	keJâstâh
geahčastat	kejâstâh
geahči	njune
geahččaleapmi	iskos
geahččaleapmi	keččâlem
geahčči	keččee
geaidnoguorra	maađijpeŋkkâ
geaidnu	kiäi'nu
gealdagas	keeldâ
gealddáhat	kihtâlâs
geallir	kiäl'lár
gealva	kavlin
geardeviessu	kerditááLu
geardeviessu	kerditáálu
geardi	hääVi
gearpmaš	kyev'di
gearpmaš	kyevdi
gearra	cerkki
gearru	kie'sâldâh
gearru	kiesâldâh
geassemánnu	keSimááNu
geassemánnu	kesimáánu
geassi	keesi
geasáhat	kiä'sáttâh
geatki	ketki
geatnegasvuohta	keNigâsvuotâ
geatnegasvuohta	kenigâsvuotâ
geavaheaddji	kevttee
geavaheapmi	anamâš
geavaheapmi	kevttim
geavŋŋis	kievŋis
geađaš	kiäđááš
geađgenjuorju	nuár'ju
geađgenjuorju	nuárju
geađgerásttis	keđgirástágâš
geađgi	keđgi
geažus	kiäjus
